,Unnamed: 0,Unnamed: 0.1,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,Level1,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,SUBDISCIPLINE,ZIP,ZIP5,nteeFinal,LAT,LONG,TITLE_NAME
0,0,3704,347 FIFTH AVE,NEW YORK,0,0,42565109,241168,36061.0,347 FIFTH AVE NEW YORK NY 10016-5010,O,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,A23,215854.0,234275,NY,347 FIFTH AVE,Cultural & Ethnic Awareness,10016-5010,10016.0,A23,42.7976632,-73.9527343,Africa the African Travel Association Inc.
1,1,7876,PO BOX 5005,NEW YORK,0,0,61597372,1990193,36061.0,,O,LAKEMONT INDUSTRIAL HOLDING COMPANY,A60,8176491.0,8222871,NY,,Performing Arts,10163-5005,10163.0,A60,,,Lakemont Industrial Holding Company
2,2,8594,LOCAL,BROOKLYN,129148,0,111195683,649611,36047.0,LOCAL BROOKLYN NY 11222-0000,O,POLISH NATIONAL ALLIANCE OF BROOKLYN U S A,A23,70273.0,344365,NY,LOCAL,Cultural & Ethnic Awareness,11222-0000,11222.0,A23,40.6501038,-73.9495823,Polish National Alliance of Brooklyn U S a
3,3,8779,730 BROADWAY,NEW YORK,0,0,111854964,697544,36061.0,730 BROADWAY NEW YORK NY 10003-9502,O,LOCAL 522 IND ROOFING & SHEETMETAL CRAFTS WELFARE FUND,A40,1071554.0,1267034,NY,730 BROADWAY,Visual Arts,10003-9502,10003.0,A40,40.729335299999995,-73.99313120000001,Local 522 Ind Roofing & Sheetmetal Crafts Welfare Fund
4,4,8882,2366 CONEY ISLAND AVE,BROOKLYN,2860,0,112022650,150310,36047.0,2366 CONEY ISLAND AVE BROOKLYN NY 11223-5002,O,AUTO BODY CRAFTSMENS GUILD INC,A40,137530.0,137714,NY,2366 CONEY ISLAND AVE,Visual Arts,11223-5002,11223.0,A40,40.59926955,-73.96162137854759,Auto Body Craftsmens Guild Inc.
5,5,9150,1110 BRONX RIVER AVE,BRONX,0,0,112579110,48412,36005.0,1110 BRONX RIVER AVE BRONX NY 10472-3102,O,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,A65,56167.0,56167,NY,1110 BRONX RIVER AVE,Theater,10472-3102,10472.0,A65,40.8258070352425,-73.8832604041932,New York Oil Heat Service Managers Association Inc.
6,6,9301,4602 30TH AVE,ASTORIA,0,0,112803536,30535,36081.0,4602 30TH AVE ASTORIA NY 11103-1264,O,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO INC,A23,0.0,34892,NY,4602 30TH AVE,Cultural & Ethnic Awareness,11103-1264,11103.0,A23,40.7619845,-73.91091170000001,Borgetto Cultural Association M S S Addolorata Del Romitello Inc.
7,7,9452,7254 65TH PL,GLENDALE,0,0,113097379,118706,36081.0,7254 65TH PL GLENDALE NY 11385-6930,O,SERBIAN ASSOCIATION OF NEW YORK INC,A23,98965.0,98965,NY,7254 65TH PL,Cultural & Ethnic Awareness,11385-6930,11385.0,A23,40.6996382,-73.8886334,Serbian Association of New York Inc.
8,8,9464,1546 E 31ST ST,BROOKLYN,22931,48854,113110485,45454,36047.0,1546 E 31ST ST BROOKLYN NY 11234-3402,O,ROCKAWAY PENINSULA CIVIC ASSOC INC,A40,0.0,48854,NY,1546 E 31ST ST,Visual Arts,11234-3402,11234.0,A40,40.6146534,-73.9433150465016,Rockaway Peninsula Civic Association Inc.
9,9,9501,PO BOX 2222,NEW YORK,0,6660,113163244,2973,36061.0,,O,COUNCIL OF BARBADIAN ORGANIZATIONS INC NEW YORK,A23,700.0,19534,NY,,Cultural & Ethnic Awareness,10008-2222,10008.0,A23,,,Council of Barbadian Organizations Inc. New York
10,10,9530,35-30 FARRINGTON ST 2FL,FLUSHING,0,166200,113212678,138535,36081.0,35-30 FARRINGTON ST FLUSHING NY 11354-2827,O,KOREAN AMERICAN NAIL SALON ASSOC OF NEW YORK INC,A23,0.0,166200,NY,35-30 FARRINGTON ST,Cultural & Ethnic Awareness,11354-2827,11354.0,A23,,,Korean American Nail Salon Association of New York Inc.
11,11,9532,1324 FLATBUSH AVE,BROOKLYN,0,0,113216404,177668,36047.0,1324 FLATBUSH AVE BROOKLYN NY 11210-1233,O,CARIBBEAN CUP INC,A23,156129.0,156129,NY,1324 FLATBUSH AVE,Cultural & Ethnic Awareness,11210-1233,11210.0,A23,40.6378826,-73.95337625,Caribbean Cup Inc.
