,Unnamed: 0,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,Level1,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,SUBDISCIPLINE,ZIP,ZIP5,nteeFinal,LAT,LONG
0,2528,83-47 242ND ST 1ST FL,BELLROSE,0,32580,30560682,22233,36081.0,83-47 242ND ST BELLROSE NY 11426-1317,,RAJPUT CULTURAL SOCIETY OF NORTH AMERICA,A23,0.0,32580,NY,83-47 242ND ST,Cultural & Ethnic Awareness,11426-1317,11426.0,A23,,
1,3913,347 FIFTH AVE,NEW YORK,0,0,42565109,241168,36061.0,347 FIFTH AVE NEW YORK NY 10016-5010,,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,A23,215854.0,234275,NY,347 FIFTH AVE,Cultural & Ethnic Awareness,10016-5010,10016.0,A23,42.7976632,-73.9527343
2,8305,PO BOX 5005,NEW YORK,0,0,61597372,2019403,36061.0,,,LAKEMONT INDUSTRIAL HOLDING COMPANY,A60,8369549.0,8418270,NY,,Performing Arts,10163-5005,10163.0,A60,,
3,9086,PO BOX 22,BROOKLYN,129990,0,111195683,637522,36047.0,,,POLISH NATIONAL ALLIANCE OF BROOKLYN U S A,A23,67658.0,289367,NY,,Cultural & Ethnic Awareness,11222-0022,11222.0,A23,,
4,9275,730 BROADWAY,NEW YORK,0,0,111854964,1073653,36061.0,730 BROADWAY NEW YORK NY 10003-9502,,LOCAL 522 IND ROOFING & SHEETMETAL CRAFTS WELFARE FUND,A40,1323925.0,1409908,NY,730 BROADWAY,Visual Arts,10003-9502,10003.0,A40,40.7293353,-73.9931312
5,9377,2366 CONEY ISLAND AVE,BROOKLYN,4315,0,112022650,162322,36047.0,2366 CONEY ISLAND AVE BROOKLYN NY 11223-5002,,AUTO BODY CRAFTSMENS GUILD INC,A40,172148.0,172747,NY,2366 CONEY ISLAND AVE,Visual Arts,11223-5002,11223.0,A40,40.59926955,-73.9616213785476
6,9402,8115 SURREY PL,JAMAICA,0,0,112099939,29972,36081.0,8115 SURREY PL JAMAICA NY 11432-1434,,JAMAICA ESTATES ASSOCIATION INC,A23,21220.0,26179,NY,8115 SURREY PL,Cultural & Ethnic Awareness,11432-1434,11432.0,A23,,
7,9652,1110 BRONX RIVER AVE,BRONX,0,0,112579110,57608,36005.0,1110 BRONX RIVER AVE BRONX NY 10472-3102,,NEW YORK OIL HEAT SERVICE MANAGERS ASSOCIATION INC,A65,54756.0,54756,NY,1110 BRONX RIVER AVE,Theater,10472-3102,10472.0,A65,40.8258070352425,-73.8832604041932
8,9741,1401 BLONDELL AVE,BRONX,168809,0,112691482,7531203,36005.0,1401 BLONDELL AVE BRONX NY 10461-2622,,PRODUCTION INDUSTRIAL TECH TEXTILE & PROF EMPLOYEES LOC 124 WLFR FUND,A40,7337767.0,7339147,NY,1401 BLONDELL AVE,Visual Arts,10461-2622,10461.0,A40,40.8430458,-73.8430748
9,9811,46 02 30TH AVE,ASTORIA,0,0,112803536,30535,36081.0,46 02 30TH AVE ASTORIA NY 11103-1264,,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO INC,A23,0.0,34892,NY,46 02 30TH AVE,Cultural & Ethnic Awareness,11103-1264,11103.0,A23,40.7614796,-73.9101439
