,Unnamed: 0,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,SUBDISCIPLINE,ZIP,ZIP5,LAT,LONG
0,2866,152 MADISON AVE RM 1702,NEW YORK,0.0,58793.0,42565109,256409.0,36061.0,152 MADISON AVE NEW YORK NY 10016-5464,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,A23,198947.0,257745.0,NY,152 MADISON AVE,Cultural & Ethnic Awareness,10016-5464,10016.0,40.7467075,-73.984055
1,3457,322 W 48TH ST 3RD FL,NEW YORK,0.0,0.0,43191447,121635.0,36061.0,322 W 48TH ST NEW YORK NY 10036-1308,NORTH AMERICAN TRAVELING MUSICIANS UNION LOCAL NO 1000,A68,129160.0,129163.0,NY,322 W 48TH ST,Music,10036-1308,10036.0,40.7612799,-73.98818145
2,5993,PO BOX 5005,NEW YORK,0.0,0.0,61597372,2455967.0,36061.0,,LAKEMONT INDUSTRIAL HOLDING COMPANY,A60,8412461.0,8412664.0,NY,,Performing Arts,,10163.0,,
3,6780,PO BOX 660086,FLUSHING,0.0,0.0,112099939,17911.0,36081.0,,JAMAICA ESTATES ASSOCIATION INC,A23,10970.0,12398.0,NY,,Cultural & Ethnic Awareness,11366-0086,11366.0,,
4,7217,C/O SEARS 211 DEAN STREET,BROOKLYN,0.0,81601.0,113057468,87445.0,36047.0,C/O SEARS 211 DEAN STREET BROOKLYN NY 11217-0000,BROOKLYN CHAPTER AMERICAN INSTITUTE OF ARCHITECTS,A03,0.0,100599.0,NY,C/O SEARS 211 DEAN STREET,Professional Societies & Associations,11217-0000,11217.0,,
5,7291,35-30 FARRINGTON ST STE 201,FLUSHING,0.0,130220.0,113212678,154217.0,36081.0,35-30 FARRINGTON ST FLUSHING NY 11354-2827,KOREAN AMERICAN NAIL SALON ASSOCIATION OF NEW YORK INC,A23,0.0,130220.0,NY,35-30 FARRINGTON ST,Cultural & Ethnic Awareness,11354-2827,11354.0,,
6,7292,3206 CLARENDON RD,BROOKLYN,5600.0,13000.0,113216404,95331.0,36047.0,3206 CLARENDON RD BROOKLYN NY 11226-6418,CARIBBEAN CUP INC,A23,74276.0,87304.0,NY,3206 CLARENDON RD,Cultural & Ethnic Awareness,11226-6418,11226.0,40.64316485,-73.9465375829545
7,7303,23-24 STEINWAY STREET,ASTORIA,0.0,0.0,113238845,54304.0,36081.0,23-24 STEINWAY STREET ASTORIA NY 11105-1999,A I A QUEENS INC,A40,77142.0,77226.0,NY,23-24 STEINWAY STREET,Visual Arts,11105-1999,11105.0,,
8,7309,C/O45-25 162ND STREET,FLUSHING,0.0,108959.0,113261970,117559.0,36081.0,C/O45-25 162ND STREET FLUSHING NY 11358-0000,KOREAN AIR CONDITIONING AND REFRIG ASSOC OF NY INC,A23,0.0,109595.0,NY,C/O45-25 162ND STREET,Cultural & Ethnic Awareness,11358-0000,11358.0,,
9,7345,44-01 FRANCIS LEWIS BLVD,BAYSIDE,0.0,72831.0,113383944,54351.0,36081.0,44-01 FRANCIS LEWIS BLVD BAYSIDE NY 11361-3028,KOREAN MEDICAL PRACITIONER ASSOC OF GREATER NEW YORK INC,A23,0.0,72831.0,NY,44-01 FRANCIS LEWIS BLVD,Cultural & Ethnic Awareness,11361-3028,11361.0,,
10,7371,2227 33RD ST,ASTORIA,0.0,7940.0,113477797,65828.0,36081.0,2227 33RD ST ASTORIA NY 11106-0000,PANCRETAN ASSOCIATION OF AMERICA SYLLOGOS KRETON MINOS,A23,57088.0,100812.0,NY,2227 33RD ST,Cultural & Ethnic Awareness,11106-0000,11105.0,40.7611562,-73.9238385
11,7632,10916 JAMAICA AVE,RICHMOND HILL,101626.0,285948.0,116102176,215083.0,36081.0,10916 JAMAICA AVE RICHMOND HILL NY 11418-2334,NATIONAL ASSOCIATION OF LETTER CARRIERS 0562 JAMAICA NEW YORK,A23,0.0,285948.0,NY,10916 JAMAICA AVE,Cultural & Ethnic Awareness,11418-2334,11418.0,40.6996924,-73.8321223
12,7689,432 PARK AVE SOUTH,NEW YORK,2037469.0,5569433.0,130417765,10010844.0,36061.0,432 PARK AVE SOUTH NEW YORK NY 10016-8013,ADVERTISING RESEARCH FOUNDATION INC,A03,4354197.0,9998839.0,NY,432 PARK AVE SOUTH,Professional Societies & Associations,10016-8013,10016.0,40.7442156,-73.9836536
13,7713,370 7TH AVE,NEW YORK,62681.0,0.0,130453215,155469.0,36061.0,370 7TH AVE NEW YORK NY 10001-3967,ASSOCIATION OF MASTER PAINTERS AND DECORATORS OF THE CITY OF NEW YORK ASSOC OF MASTER PAINTERS AND DECORATO,A40,99200.0,125236.0,NY,370 7TH AVE,Visual Arts,10001-3967,10001.0,40.74907,-73.992305
14,7716,545 W 45TH ST SECOND FLOOR,NEW YORK,207077.0,0.0,130460219,774456.0,36061.0,545 W 45TH ST SECOND NEW YORK NY 10036-3409,INTERNATIONAL ALLIANCE THEATRICAL STAGE EMPLOYEES AND MOVING PICTURE M 306 LOCAL,A65,839864.0,841497.0,NY,545 W 45TH ST SECOND,Theater,10036-3409,10036.0,,
15,7760,275 7TH AVENUE ROOM 18TH FL,NEW YORK,0.0,0.0,130876693,12138.0,36061.0,275 7TH AVENUE ROOM NEW YORK NY 10001-6721,UNITED ITALIAN AMERICAN LABOR COUNCIL INC,A23,1555.0,9205.0,NY,275 7TH AVENUE ROOM,Cultural & Ethnic Awareness,10001-6721,10001.0,,
16,7838,1430 BROADWAY 8TH FLOOR,NEW YORK,489093.0,0.0,131395875,1263148.0,36061.0,1430 BROADWAY NEW YORK NY 10018-3308,INTERNATIONAL ALLIANCE THEATRICAL STAGE EMP AND MVG PIC MACH OP US AND CAN 751 IATSE,A65,1326854.0,1333507.0,NY,1430 BROADWAY,Theater,10018-3308,10018.0,40.7539335,-73.9868111
17,7844,SEAN MCGOVERN 9230 SPRINGFIELD BLVD,QUEENS VILLAGE,0.0,0.0,131426099,23682.0,36081.0,SEAN MCGOVERN 9230 SPRINGFIELD BLVD QUEENS VILLAGE NY 11428-1857,UNITED IRISH COUNTIES ASSOCIATION OF NEW YORK INC,A23,800.0,28821.0,NY,SEAN MCGOVERN 9230 SPRINGFIELD BLVD,Cultural & Ethnic Awareness,11428-1857,11428.0,,
18,7845,29 WEST 38TH ST 15TH FL,NEW YORK,2166678.0,0.0,131426730,5377325.0,36061.0,29 WEST 38TH ST NEW YORK NY 10018-5504,INTERNATIONAL ALLIANCE THEATRICAL STAGE EMPLOYEES AND MOVING PICTURE 829 UNITED SCENIC ARTISTS LOC IATSE,A65,5289091.0,5517869.0,NY,29 WEST 38TH ST,Theater,10018-5504,10018.0,40.751711,-73.9842779
19,7885,125 W 55TH STREET - 6TH FLOOR,NEW YORK,0.0,0.0,131583260,4749.0,36061.0,125 W 55TH STREET - NEW YORK NY 10019-5369,STATION REPRESENTATIVES ASSOCIATION INC,A01,0.0,3374.0,NY,125 W 55TH STREET -,Alliances & Advocacy,10019-5369,10019.0,40.7636759,-73.9792182
