,Unnamed: 0,Unnamed: 0.1,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,SUBDISCIPLINE,ZIP,ZIP5,LAT,LONG,TITLE_NAME
0,0,2844,152 MADISON AVE RM 1702,NEW YORK,0.0,62148.0,42565109,207145.0,36061.0,152 MADISON AVE NEW YORK NY 10016-5464,AFRICA THE AFRICAN TRAVEL ASSOCIATION INC,A23,143272.0,205424.0,NY,152 MADISON AVE,Cultural & Ethnic Awareness,10016-5464,10016.0,40.7467075,-73.984055,Africa the African Travel Association Inc.
1,1,3433,322 W 48TH ST 3RD FL,NEW YORK,0.0,0.0,43191447,122111.0,36061.0,322 W 48TH ST NEW YORK NY 10036-1308,NORTH AMERICAN TRAVELING MUSICIANS UNION LOCAL NO 1000,A68,121034.0,121035.0,NY,322 W 48TH ST,Music,10036-1308,10036.0,40.7612799,-73.98818145,North American Traveling Musicians Union Local No 1000
2,2,6018,118 WINDSOR PL,BROOKLYN,0.0,0.0,61664413,32.0,36047.0,118 WINDSOR PL BROOKLYN NY 11229-4111,ANCIENT ORDER OF HIBERNIANS LADIES 9 KINGS COUNTY NEW YORK DIVISION,A23,120.0,120.0,NY,118 WINDSOR PL,Cultural & Ethnic Awareness,11229-4111,11215.0,40.659925,-73.98156649637849,Ancient Order of Hibernians Ladies 9 Kings County New York Division
3,3,6755,PO BOX 660086,FLUSHING,0.0,0.0,112099939,10566.0,36081.0,,JAMAICA ESTATES ASSOCIATION INC,A23,11525.0,14572.0,NY,,Cultural & Ethnic Awareness,11366-0086,11366.0,,,Jamaica Estates Association Inc.
4,4,6927,64 NAUTILUS ST,STATEN ISLAND,0.0,1805.0,112514514,21765.0,36085.0,64 NAUTILUS ST STATEN ISLAND NY 11229-4111,ANCIENT ORDER OF HIBERNIANS LADIES KING COUNTY BOARD,A23,26537.0,29736.0,NY,64 NAUTILUS ST,Cultural & Ethnic Awareness,11229-4111,10305.0,40.610656799999994,-74.062120889761,Ancient Order of Hibernians Ladies King County Board
5,5,6947,4626 215TH PL,BAYSIDE,0.0,0.0,112555049,1531.0,36081.0,4626 215TH PL BAYSIDE NY 11229-4111,ANCIENT ORDER OF HIBERNIANS LADIES 13 DIV QNS CO NY,A23,660.0,660.0,NY,4626 215TH PL,Cultural & Ethnic Awareness,11229-4111,11361.0,40.774599,-73.77058000000001,Ancient Order of Hibernians Ladies 13 Div Qns Co. NY
6,6,7085,4602 30TH AVE,ASTORIA,0.0,0.0,112803536,13179.0,36081.0,4602 30TH AVE ASTORIA NY 11103-1264,BORGETTO CULTURAL ASSOC M S S ADDOLORATA DEL ROMITELLO INC,A23,550.0,550.0,NY,4602 30TH AVE,Cultural & Ethnic Awareness,11103-1264,11103.0,40.7619845,-73.91091170000001,Borgetto Cultural Association M S S Addolorata Del Romitello Inc.
7,7,7102,16710 COCHERON AVE,FLUSHING,0.0,0.0,112873727,3627.0,36081.0,16710 COCHERON AVE FLUSHING NY 11229-4111,ANCIENT ORDER OF HIBERNIANS LADIES QUEENS COUNTY BOARD,A23,800.0,7046.0,NY,16710 COCHERON AVE,Cultural & Ethnic Awareness,11229-4111,11358.0,,,Ancient Order of Hibernians Ladies Queens County Board
8,8,7186,C/O SEARS 211 DEAN STREET,BROOKLYN,0.0,68966.0,113057468,72592.0,36047.0,C/O SEARS 211 DEAN STREET BROOKLYN NY 11217-0000,BROOKLYN CHAPTER AMERICAN INSTITUTE OF ARCHITECTS,A03,0.0,121227.0,NY,C/O SEARS 211 DEAN STREET,Professional Societies & Associations,11217-0000,11217.0,,,Brooklyn Chapter American Institute of Architects
9,9,7263,35-30 FARRINGTON ST STE 201,FLUSHING,0.0,228154.0,113212678,204551.0,36081.0,35-30 FARRINGTON ST FLUSHING NY 11354-2827,KOREAN AMERICAN NAIL SALON ASSOCIATION OF NEW YORK INC,A23,0.0,228154.0,NY,35-30 FARRINGTON ST,Cultural & Ethnic Awareness,11354-2827,11354.0,,,Korean American Nail Salon Association of New York Inc.
